date,product name,p _ category,store_id,city / District ,eonomical crisis,health crisis,festivals in region ,weather,population density,lot size 
01/09/2020,Sanitizer,Consumable,kol-str-2,Kolkatta,High,Medium,,Rainy,24760,0.16
01/10/2020,Sanitizer,Consumable,kol-str-2,Kolkatta,High,High,"Durga puja , Kali Puja",Winter,24760,0.1
01/11/2020,Sanitizer,Consumable,kol-str-2,Kolkatta,High,Low,,Winter,24760,0.09
01/12/2020,Sanitizer,Consumable,kol-str-2,Kolkatta,Medium,Low,Christmas,Winter,24760,0.09
01/01/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,Low,Low,New year ,Winter,24760,1.2
01/02/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,Low,Low,,Summer,24760,1.1
01/03/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,Low,Low,,Summer,24760,4.1
01/04/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,Low,Medium,Holi,Summer,24760,6.7
01/05/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,Low,Medium,Eid,Summer,24760,6.7
01/06/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,Low,High,,Rainy,24760,9.2
01/07/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,High,High,,Rainy,24760,9.3
01/08/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,High,High,Raksh Bandhan,Rainy,24760,9.5
01/09/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,High,Medium,,Rainy,24760,6.8
01/10/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,High,High,"Durga puja , Kali Puja",Winter,24760,9.0
01/11/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,High,Low,,Winter,24760,1.5
01/12/2020,Mask,Non-Consumable,kol-str-2,Kolkatta,Medium,Low,Christmas,Winter,24760,0.8
01/01/2020,Soap,Consumable,kol-str-2,Kolkatta,Low,Low,New year ,Winter,24760,7.0
01/02/2020,Soap,Consumable,kol-str-2,Kolkatta,Low,Low,,Summer,24760,8.0
01/03/2020,Soap,Consumable,kol-str-2,Kolkatta,Low,Low,,Summer,24760,7.0
01/04/2020,Soap,Consumable,kol-str-2,Kolkatta,Low,Medium,Holi,Summer,24760,8.0
01/05/2020,Soap,Consumable,kol-str-2,Kolkatta,Low,Medium,Eid,Summer,24760,9.0
01/06/2020,Soap,Consumable,kol-str-2,Kolkatta,Low,High,,Rainy,24760,11.0
01/07/2020,Soap,Consumable,kol-str-2,Kolkatta,High,High,,Rainy,24760,12.0
01/08/2020,Soap,Consumable,kol-str-2,Kolkatta,High,High,Raksh Bandhan,Rainy,24760,12.0
01/09/2020,Soap,Consumable,kol-str-2,Kolkatta,High,Medium,,Rainy,24760,9.0
01/10/2020,Soap,Consumable,kol-str-2,Kolkatta,High,High,"Durga puja , Kali Puja",Winter,24760,9.0
01/11/2020,Soap,Consumable,kol-str-2,Kolkatta,High,Low,,Winter,24760,8.0
01/12/2020,Soap,Consumable,kol-str-2,Kolkatta,Medium,Low,Christmas,Winter,24760,8.0
01/01/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,Low,Low,New year ,Winter,24760,0.1
01/02/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,Low,Low,,Summer,24760,0.2
01/03/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,Low,Low,,Summer,24760,0.2
01/04/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,Low,Medium,Holi,Summer,24760,0.3
01/05/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,Low,Medium,Eid,Summer,24760,0.3
01/06/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,Low,High,,Rainy,24760,1.0
01/07/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,High,High,,Rainy,24760,0.8
01/08/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,High,High,Raksh Bandhan,Rainy,24760,0.8
01/09/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,High,Medium,,Rainy,24760,0.8
01/10/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,High,High,"Durga puja , Kali Puja",Winter,24760,0.1
01/11/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,High,Low,,Winter,24760,0.0
01/12/2020,Umbrella ,Non-Consumable,kol-str-2,Kolkatta,Medium,Low,Christmas,Winter,24760,0.0
